amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
100.00,000282555,C,8650963,Closed,,100.00,1/23/2012,1/24/2012,4/12/2012,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14100.pdf,M.R. Dirt Inc.
100.00,000274355,C,8650926,Closed,,100.00,10/19/2011,10/20/2011,1/11/2012,100.00,N,104(a),56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-1000.pdf,M.R. Dirt Inc.
100.00,000262818,C,8645898,Closed,,100.00,6/9/2011,6/9/2011,9/15/2011,100.00,N,104(a),56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-4101.pdf,M.R. Dirt Inc.
100.00,000262818,C,8645896,Closed,,100.00,6/9/2011,6/14/2011,9/15/2011,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-14107.pdf,M.R. Dirt Inc.
108.00,000262818,C,8645897,Closed,,108.00,6/9/2011,6/9/2011,9/15/2011,108.00,Y,104(a),56.3200,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-3200.pdf,M.R. Dirt Inc.
